Bun Bun Truck	Saigon Street Corner Dining (at noon).jpg	#590a0d	#47080A	<a href="http://www.flickr.com/photos/76345376@N00/119175704/">Saigon Street Corner Dining</a>	<a href="https://creativecommons.org/licenses/by/2.0/deed.sv" rel="license">CC&nbsp;BY&nbsp;2.0</a>
	Taco	1 st 35 kr, 2 st 55 kr			
		Kyckling			
		Citrongräs	Marinerad		
		Tortilla	Vete		
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Taco	1 st 35 kr, 2 st 55 kr			
		Fläskssida	Brässerad		
		Tortilla	Vete		
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Taco	1 st 35 kr, 2 st 55 kr			
		Tofu	Grillad		
		Tortilla	Vete		
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Taco	1 st 35 kr, 2 st 55 kr			
		Fläskkorv	Chả lụa		
		Tortilla	Vete		
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Bánh mì	70 kr			
		Kyckling			
		Citrongräs	Marinerad		
		Baguette			
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Bánh mì	70 kr			
		Fläskssida	Brässerad		
		Baguette			
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Bánh mì	70 kr			
		Tofu	Grillad		
		Baguette			
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
	Bánh mì	85 kr			
		Paté	Vietnamesisk		
		Skinka	Chả lụa		
		Grishuvud	Terrine		
		Baguette			
		Pickles			
		Koriander			
		Majonnäs			
		Chili			
		Hot sauce			
Fred's Food Truck	A REFRESHMENT STAND ON THE BOARDWALK OF ISLE OF PALMS, THE POPULAR OCEAN RESORT - NARA - 546979.jpg	#c39675	#9C785E	<a href="https://en.wikipedia.org/wiki/U.S._National_Archives_and_Records_Administration">U.S. National Archives and Records Administration</a>	Public domain
	Majsnachos	40 kr	Nyfriterade		
		Salsa	Chipotle		
	Quesadilla	55 kr	Vegetarisk		
		Spenat			
		Champinjoner			
		Vitlök			
		Ost			
	Taco	80 kr	Fisk		
		Torsk	MSC-märkt		
		Surkål			
		Lime			
		Majonnäs	Chipotle		
	Pulled pork	85 kr			
		Coleslaw			
		Chutney	Äpple		
		Rödlök	Picklad		
Curbside~	Ingen meny	#dddddd	#cccccc	Ingen	Ingen
Silvia's Vägbistro	Red Marcato Atlas 150 Color pasta machine.jpg	#cf2e00	#912000	<a href="https://commons.wikimedia.org/w/index.php?title=User:Mudflattop&action=edit&redlink=1">Paxson Woelber</a>	<a href="https://creativecommons.org/licenses/by-sa/4.0/deed.sv" rel="license">CC&nbsp;BY-SA 4.0</a>
	Pasta Carciofi	halv 60 kr, hel 100 kr			
		Pasta			
		Carciofi			
		Kronärtskockskräm			
		Parmesan			
		Olja			
		Tomater			
	Porchetta	1 slider 55 kr, 2 sliders 100 kr	Sandwich		
		Porchetta	Rotisseriegrillad		
		Surdegsbröd			
		Pesto	Surkål		
		Örtcrème			
		Tomater			
		Ruccola			
